,0
1061,1
1062,0
1063,0
1064,1
1065,1
1066,1
1067,0
1068,0
1069,0
1070,1
1071,0
1072,0
1073,0
1074,1
1075,0
1076,1
1077,1
1078,1
1079,0
1080,0
1081,0
1082,1
1083,0
1084,1
1085,1
1086,1
1087,0
1088,0
1089,0
1090,1
1091,1
1092,0
1093,0
1094,1
1095,1
1096,1
1097,0
1098,1
1099,0
1100,1
1101,1
1102,0
1103,0
1104,0
1105,1
1106,1
1107,1
1108,1
1109,0
1110,1
1111,1
1112,0
1113,0
1114,0
1115,1
1116,1
1117,1
1118,0
1119,0
1120,0
1121,0
1122,1
1123,0
1124,1
1125,1
1126,1
1127,1
1128,1
1129,1
1130,1
1131,0
1132,0
1133,1
1134,1
1135,0
1136,0
1137,1
1138,1
1139,1
1140,1
1141,0
1142,0
1143,1
1144,1
1145,1
1146,0
1147,0
1148,1
1149,1
1150,1
1151,1
1152,1
1153,1
1154,0
1155,0
1156,1
1157,1
1158,1
1159,1
1160,1
1161,0
1162,1
1163,1
1164,0
1165,1
1166,0
1167,1
1168,1
1169,1
1170,1
1171,1
1172,1
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,1
1181,0
1182,0
1183,0
1184,0
1185,1
1186,0
1187,0
1188,0
1189,0
1190,1
1191,1
1192,1
1193,0
1194,0
1195,1
1196,0
1197,1
1198,0
1199,1
1200,1
1201,1
1202,1
1203,1
1204,1
1205,0
1206,0
1207,0
1208,0
1209,0
1210,1
1211,1
1212,1
1213,0
1214,1
1215,1
1216,0
1217,1
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,1
1227,1
1228,0
1229,0
1230,1
1231,1
1232,1
1233,0
1234,0
1235,1
1236,1
1237,0
1238,1
1239,1
1240,1
1241,1
1242,0
1243,1
1244,1
1245,1
1246,0
1247,1
1248,0
1249,1
1250,0
1251,0
1252,0
1253,1
1254,1
1255,1
1256,1
1257,0
1258,1
1259,0
1260,1
1261,0
1262,1
1263,1
1264,0
1265,0
1266,0
1267,1
1268,0
1269,1
1270,0
1271,0
1272,0
1273,1
1274,0
1275,1
1276,1
1277,1
1278,1
1279,0
1280,0
1281,0
1282,0
1283,0
1284,1
1285,0
1286,1
1287,0
1288,1
1289,1
1290,0
1291,0
1292,1
1293,0
1294,1
1295,0
1296,0
1297,1
1298,1
1299,0
1300,1
1301,1
1302,0
1303,1
1304,0
1305,0
1306,1
1307,0
1308,1
1309,1
1310,1
1311,0
1312,1
1313,0
1314,0
1315,1
1316,0
1317,1
1318,0
1319,1
1320,0
1321,0
1322,0
1323,0
1324,0
1325,1
1326,0
1327,0
1328,1
1329,1
1330,0
1331,1
1332,0
1333,1
1334,0
1335,1
1336,0
1337,1
1338,1
1339,1
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,1
1348,1
1349,1
1350,0
1351,0
1352,0
1353,0
1354,0
1355,0
1356,0
1357,0
1358,1
1359,0
1360,0
1361,0
1362,0
1363,1
1364,0
1365,1
1366,1
1367,1
1368,1
1369,0
1370,0
1371,1
1372,1
1373,0
1374,0
1375,0
1376,1
1377,0
1378,1
1379,1
1380,0
1381,0
1382,1
1383,1
1384,0
1385,0
1386,1
1387,1
1388,1
1389,0
1390,1
1391,0
1392,1
1393,0
1394,1
1395,0
1396,1
1397,0
1398,1
1399,1
1400,0
1401,0
1402,0
1403,0
1404,0
1405,1
1406,1
1407,0
1408,0
1409,1
1410,1
1411,1
1412,1
1413,0
1414,1
1415,1
1416,0
1417,1
1418,1
1419,1
1420,0
1421,0
1422,0
1423,1
1424,0
1425,0
1426,0
1427,0
1428,0
1429,1
1430,1
1431,1
1432,0
1433,1
1434,0
1435,0
1436,1
1437,1
1438,1
1439,0
1440,0
1441,1
1442,0
1443,0
1444,0
1445,0
1446,0
1447,1
1448,0
1449,1
1450,1
1451,0
1452,1
1453,0
1454,0
1455,0
1456,0
1457,0
1458,0
1459,1
1460,1
1461,0
1462,1
1463,0
1464,0
1465,1
1466,0
1467,0
1468,0
1469,0
1470,0
1471,1
1472,1
1473,1
1474,1
1475,1
1476,1
1477,0
1478,0
1479,1
1480,0
1481,0
1482,0
1483,1
1484,0
1485,0
1486,0
1487,0
1488,1
1489,1
1490,1
1491,0
1492,0
1493,1
1494,1
1495,1
1496,1
1497,1
1498,0
1499,1
1500,0
1501,1
1502,0
1503,0
1504,1
1505,1
1506,1
1507,0
1508,0
1509,0
1510,1
1511,0
1512,0
1513,1
1514,1
1515,0
1516,1
1517,0
1518,0
1519,1
1520,0
1521,0
1522,0
1523,0
1524,0
1525,1
1526,0
1527,0
1528,0
1529,1
1530,1
1531,0
1532,0
1533,1
1534,0
1535,1
1536,0
1537,1
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,1
1545,0
1546,1
1547,0
1548,0
1549,0
1550,1
1551,1
1552,1
1553,0
1554,0
1555,0
1556,1
1557,1
1558,0
1559,1
1560,0
1561,0
1562,1
1563,0
1564,0
1565,1
1566,0
1567,0
1568,1
1569,1
1570,1
1571,1
1572,0
1573,1
1574,1
1575,1
1576,1
1577,1
1578,0
1579,0
1580,1
1581,1
1582,1
1583,1
1584,0
1585,1
1586,1
1587,1
1588,1
1589,0
1590,0
1591,1
1592,1
1593,1
1594,1
1595,1
1596,1
1597,1
1598,1
1599,1
1600,1
1601,0
1602,0
1603,1
1604,0
1605,0
1606,1
1607,0
1608,1
1609,0
1610,1
1611,0
1612,0
1613,0
1614,1
1615,1
1616,0
1617,0
1618,1
1619,0
1620,0
1621,0
1622,1
1623,1
1624,1
1625,1
1626,0
1627,0
1628,1
1629,0
1630,0
1631,0
1632,0
1633,1
1634,0
1635,1
1636,1
1637,1
1638,0
1639,1
1640,1
1641,1
1642,0
1643,0
1644,0
1645,0
1646,0
1647,1
1648,0
1649,0
1650,0
1651,1
1652,0
1653,1
1654,0
1655,1
1656,0
1657,1
1658,0
1659,1
1660,0
1661,0
1662,1
1663,0
1664,0
1665,0
1666,0
1667,0
1668,0
1669,0
1670,0
1671,0
1672,0
1673,1
1674,1
1675,1
1676,1
1677,1
1678,1
1679,0
1680,0
1681,0
1682,1
1683,1
1684,1
1685,1
1686,1
1687,1
1688,1
1689,0
1690,1
1691,0
1692,1
1693,1
1694,0
1695,0
1696,1
1697,1
1698,1
1699,0
1700,1
1701,0
1702,1
1703,0
1704,0
1705,1
1706,0
1707,1
1708,1
1709,1
1710,1
1711,0
1712,1
1713,0
1714,0
1715,0
1716,1
1717,0
1718,1
1719,1
1720,0
1721,0
1722,1
1723,1
1724,1
1725,1
1726,0
1727,0
1728,0
1729,0
1730,1
1731,0
1732,0
1733,1
1734,1
1735,1
1736,1
1737,1
1738,1
1739,0
1740,1
1741,0
1742,1
1743,1
1744,0
1745,0
1746,0
1747,0
1748,0
1749,0
1750,1
1751,1
1752,0
1753,0
1754,1
1755,0
1756,1
1757,0
1758,1
1759,1
1760,1
1761,1
1762,1
1763,1
1764,0
1765,1
1766,1
1767,1
1768,1
1769,1
1770,1
1771,1
1772,1
1773,0
1774,0
1775,1
1776,0
1777,1
1778,1
1779,1
1780,1
1781,1
1782,0
1783,1
1784,1
1785,0
1786,1
1787,0
1788,0
1789,1
1790,1
1791,0
1792,1
1793,0
1794,1
1795,0
1796,1
1797,1
1798,1
1799,1
1800,1
1801,1
1802,0
1803,1
1804,1
1805,1
1806,0
1807,1
1808,1
1809,0
1810,0
1811,1
1812,1
1813,0
1814,1
1815,0
1816,1
1817,0
1818,0
1819,1
1820,1
1821,0
1822,0
1823,1
1824,0
1825,0
1826,1
1827,1
1828,1
1829,1
1830,0
1831,0
1832,0
1833,1
1834,0
1835,1
1836,0
1837,1
1838,1
1839,1
1840,0
1841,1
1842,1
1843,0
1844,0
1845,0
1846,0
1847,1
1848,1
1849,1
1850,1
1851,1
1852,0
1853,1
1854,1
1855,0
1856,1
1857,0
1858,1
1859,0
1860,1
1861,0
1862,0
1863,1
1864,0
1865,0
1866,0
1867,0
1868,1
1869,0
1870,1
1871,1
1872,1
1873,0
1874,0
1875,0
1876,0
1877,0
1878,1
1879,1
1880,0
1881,0
1882,1
1883,0
1884,0
1885,0
1886,1
1887,1
1888,0
1889,1
1890,0
1891,0
1892,1
1893,1
1894,0
1895,1
1896,1
1897,1
1898,1
1899,1
1900,0
1901,0
1902,1
1903,1
1904,1
1905,1
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,1
1913,1
1914,0
1915,1
1916,0
1917,1
1918,0
1919,0
1920,1
1921,1
1922,0
1923,0
1924,0
1925,0
1926,1
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,1
1934,1
1935,1
1936,1
1937,0
1938,0
1939,1
1940,0
1941,1
1942,0
1943,1
1944,1
1945,0
1946,1
1947,1
1948,1
1949,1
1950,0
1951,1
1952,0
1953,1
1954,1
1955,0
1956,1
1957,0
1958,0
1959,1
1960,0
1961,0
1962,1
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,1
1970,0
1971,0
1972,1
1973,1
1974,1
1975,0
1976,0
1977,1
1978,0
1979,1
1980,1
1981,0
1982,0
1983,1
1984,1
1985,1
1986,1
1987,1
1988,0
1989,1
1990,1
1991,1
1992,1
1993,1
1994,1
1995,1
1996,0
1997,0
1998,0
1999,1
2000,0
2001,0
2002,0
2003,1
2004,1
2005,1
2006,1
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,1
2014,0
2015,1
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,1
2023,0
2024,0
2025,0
2026,0
2027,0
2028,1
2029,1
2030,0
2031,0
2032,0
2033,0
2034,1
2035,0
2036,1
2037,0
2038,0
2039,1
2040,0
2041,0
2042,1
2043,0
2044,0
2045,0
2046,0
2047,0
2048,0
2049,0
2050,1
2051,0
2052,1
2053,1
2054,1
2055,1
2056,1
2057,1
2058,0
2059,0
2060,1
2061,0
2062,1
2063,1
2064,0
2065,0
2066,0
2067,0
2068,0
2069,1
2070,1
2071,0
2072,0
2073,1
2074,0
2075,0
2076,1
2077,1
2078,1
2079,1
2080,0
2081,1
2082,0
2083,1
2084,1
2085,1
2086,1
2087,1
2088,0
2089,1
2090,0
2091,0
2092,0
2093,1
2094,1
2095,1
2096,0
2097,0
2098,0
2099,0
2100,0
2101,1
2102,1
2103,1
2104,1
2105,1
2106,0
2107,0
2108,1
2109,1
2110,1
2111,0
2112,1
2113,0
2114,0
2115,1
2116,1
2117,1
2118,1
2119,0
2120,0
2121,1
2122,1
2123,0
2124,1
2125,1
2126,0
2127,0
2128,1
2129,1
2130,0
2131,1
2132,0
2133,0
2134,0
2135,0
2136,1
2137,0
2138,1
2139,1
2140,1
2141,1
2142,0
2143,0
2144,0
2145,1
2146,0
2147,1
2148,1
2149,0
2150,0
2151,1
2152,1
2153,0
2154,1
2155,0
2156,0
2157,1
2158,0
2159,1
2160,0
2161,0
2162,1
2163,0
2164,1
2165,1
2166,0
2167,1
2168,0
2169,0
2170,0
2171,0
2172,0
2173,0
2174,0
2175,0
2176,1
2177,0
2178,0
2179,1
2180,1
2181,1
2182,1
2183,0
2184,1
2185,1
2186,0
2187,0
2188,1
2189,0
2190,0
2191,1
2192,1
2193,1
2194,0
2195,1
2196,1
2197,1
2198,1
2199,1
2200,1
2201,1
2202,0
2203,0
2204,1
2205,0
2206,1
2207,0
2208,0
2209,1
2210,0
2211,1
2212,1
2213,1
2214,1
2215,0
2216,0
2217,1
2218,1
2219,1
2220,0
2221,1
2222,0
2223,0
2224,1
2225,1
2226,0
2227,0
2228,1
2229,1
2230,0
2231,1
2232,0
2233,0
2234,0
2235,1
2236,1
2237,1
2238,0
2239,0
2240,1
2241,0
2242,0
2243,0
2244,1
2245,1
2246,0
2247,0
2248,0
2249,1
2250,1
2251,0
2252,1
2253,1
2254,0
2255,0
2256,0
2257,0
2258,0
2259,1
2260,1
2261,0
2262,0
2263,0
2264,0
2265,0
2266,0
2267,0
2268,1
2269,1
2270,0
2271,0
2272,1
2273,1
2274,0
2275,0
2276,0
2277,1
2278,1
2279,0
2280,1
2281,1
2282,1
2283,0
2284,0
2285,1
2286,1
2287,0
2288,1
2289,1
2290,0
2291,1
2292,0
2293,0
2294,0
2295,1
2296,1
2297,1
2298,0
2299,1
2300,0
2301,0
2302,0
2303,1
2304,1
2305,1
2306,1
2307,1
2308,1
2309,1
2310,0
2311,0
2312,1
2313,1
2314,1
2315,0
2316,1
2317,1
2318,0
2319,1
2320,0
2321,0
2322,1
2323,0
2324,1
2325,1
2326,0
2327,0
2328,1
2329,1
2330,1
2331,1
2332,0
2333,1
2334,1
2335,1
2336,0
2337,0
2338,0
2339,1
2340,1
2341,1
2342,0
2343,1
2344,0
2345,1
2346,0
2347,0
2348,0
2349,0
2350,0
2351,0
2352,0
2353,1
2354,1
2355,0
2356,0
2357,0
2358,1
2359,1
2360,1
2361,0
2362,0
2363,0
2364,0
2365,1
2366,0
2367,1
2368,0
2369,0
2370,0
2371,0
2372,0
2373,0
2374,0
2375,0
2376,0
2377,0
2378,0
2379,0
2380,0
2381,0
2382,1
2383,0
2384,1
2385,1
2386,1
2387,1
2388,1
2389,0
2390,1
2391,1
2392,0
2393,1
2394,1
2395,0
2396,0
2397,0
2398,0
2399,1
